Località,1805,1806,1807,1808,1809,1810,1811,1812
Corsica,12.0,17.0,53.0,58.0,11.0,25.0,15.0,8.0
Francia,6.0,61.0,36.0,69.0,9.0,,,89.0
Germania,7.0,3.0,5.0,9.0,1.0,24.0,,
Olanda,,8.0,3.0,,,,,
Svizzera,,,,,,,,2.0
Spagna,,9.0,11.0,,,,,
Russia,,,,,3.0,89.0,,
Impero Francese,,,,,,,,2.0
Inghilterra,,,,,,,2.0,
Austria,,,,,,,,2.0
Stato Romano,,,,,,,9.0,
Regno di Napoli,,,,9.0,8.0,10.0,,
Regno Italico,,,,,,,,2.0
Portoferraio,1.0,,2.0,7.0,3.0,1.0,,3.0
Milano,,,,13.0,,,,
Toscana,1.0,,,19.0,,,,
Bologna,,4.0,,11.0,,5.0,3.0,
Cremona,2.0,1.0,,,1.0,2.0,5.0,
Parma,,1.0,,4.0,,,2.0,2.0
Bergamo,2.0,,,,,,,
Vercelli,2.0,,,,,,2.0,
Torino,3.0,,9.0,5.0,3.0,1.0,,
Mantova,,7.0,5.0,,,,,
Genova,7.0,,,,,,,
Siena,3.0,,,,,,,
Perugia,1.0,3.0,,,1.0,,,3.0
Firenze,1.0,2.0,3.0,,15.0,8.0,5.0,3.0
Roma,3.0,9.0,,4.0,7.0,,5.0,
Viterbo,,,,,,,,2.0
Trento,,,,,1.0,,,
Padova,1.0,9.0,9.0,,1.0,,6.0,3.0
Venezia,,,,,,11.0,,
Sarzana,3.0,9.0,2.0,6.0,5.0,,4.0,
Modena,,,,,,,,1.0
Livorno,,,,,,,,14.0
Pistoia,2.0,3.0,,2.0,,6.0,,5.0
Spoleto,,,,,,2.0,,3.0
Italia,,2.0,,,,,,5.0
